nome	data	materiale	locus	description	url	gulpease	flesch_reading_ease	description_lemmatized	count_FO_description
dipinto (elemento d'insieme)	1599-1622	tela/ pittura a olio	Saluzzo (CN)	Il santo regge il libro nella sinistra e l'alabarda nella destra	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000406A-4	67.2	82.7	il santo reggere il libro in il sinistra e il alabarda in il destra	8
dipinto (elemento d'insieme)	1599-1622	tela/ pittura a olio	Saluzzo (CN)	Il santo è raffigurato mentre scrive e ha lo sguardo volto verso l'alto	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000406A-6	66.7	89.34	il santo essere raffigurare mentre scrivere e avere il sguardo volgere verso il alto	12
dipinto (elemento d'insieme)	1599-1622	tela/ pittura a olio	Saluzzo (CN)	Il dipinto non è del tutto leggibile, non è chiaro cosa regga in mano il santo	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000406A-9	68.4	94.92	il dipinto non essere di il tutto leggibile , non essere chiaro cosa reggere in mano il santo	12
statua (elemento d'insieme)	post 1736-1796	marmo bianco/ scultura	Savigliano (CN)	La statua mostra un linguaggio scenografico seppure contenuto in uno schema classico	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000491A-2	53.2	61.42	il statua mostrare uno linguaggio scenografico seppure contenere in uno schema classico	7
scomparto di polittico (elemento d'insieme)	1500-1510	tavola/ pittura a tempera	Savigliano (CN)	Nello scomparto sono raffigurati un santo vescovo, con pianeta, mitra e pastorale, e San Pietro, con il libro e la chiave; il soffitto cassettonato, sorretto da una colonna, è coerente, dal punto di vista della prospettiva, con il pannello centrale. Sullo sfondo è un paesaggio	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000530-2	50.6	66.43	in il scomparto essere raffigurare uno santo vescovo , con pianeta , mitra e pastorale , e San Pietro , con il libro e il chiave ; il soffitto cassettonato , sorretto da uno colonna , essere coerente , da il punto di vista di il prospettiva , con il pannello centrale . su il sfondo essere uno paesaggio	18
scomparto di polittico (elemento d'insieme)	1500-1510	tavola/ pittura a tempera	Savigliano (CN)	San Paolo, con la spada, e San Giovanni Battista con la croce di canne, sono in uno spazio architettonico simmetrico rispetto al pannello precedente, e coerente prospetticamente con lo scomparto centrale	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000530-3	42.9	47.04	San Paolo , con il spada , e San Giovanni battista con il croce di canna , essere in uno spazio architettonico simmetrico rispetto a il pannello precedente , e coerente prospetticamente con il scomparto centrale	13
scomparto di polittico (elemento d'insieme)	1500-1510	tavola/ pittura a tempera	Savigliano (CN)	Il Cristo è raffigurato a mezza figura, con le mani sul petto	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000530-7	72.3	91.42	il cristo essere raffigurare a mezzo figura , con il mano su il petto	10
dipinto	1790-1799	tela/ pittura a olio	Occhieppo Inferiore (BI)	Il dipinto raffigura un santo apostolo, a mezzo busto, con un libro in mano e tenente sotto il braccio una croce astile. La figura è barbuta e torce il collo, voltandosi all'indietro e rivolgendo lo sguardo verso l'alto. I colori sono mantenuti in tonalità piuttosto basse e soffocati dallo sporco	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001559A-2	57.4	71.69	il dipinto raffigurare uno santo apostolo , a mezzo busto , con uno libro in mano e tenente sotto il braccio uno croce astile . il figura essere barbuta e torce il collo , voltare si a il indietro e rivolgere il sguardo verso il alto . il colore essere mantenere in tonalità piuttosto basso e soffocare da il sporco	30
dipinto	1790-1799	tela/ pittura a olio	Occhieppo Inferiore (BI)	Il dipinto raffigura San Simone Apostolo, a mezzo busto, di tre quarti, reggente con la mano destra la sega, attributo che lo identifica	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001559A-5	52.5	67.1	il dipinto raffigurare San simone apostolo , a mezzo busto , di tre quarto , reggente con il mano destro il sega , attributo che lo identificare	12
dipinto	1790-1799	tela/ pittura a olio	Occhieppo Inferiore (BI)	Il dipinto raffigura San Bartolomeo, a mezzo busto, il quale con la mano sinistra mostra la pelle scorticata	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001559A-6	55.1	70.24	il dipinto raffigurare San bartolomeo , a mezzo busto , il quale con il mano sinistra mostrare il pelle scorticato	9
dipinto	1600-1699	legno/ pittura	Graglia (BI)	Al centro della scena è raffigurato Gesù Bambino sdraiato nella magiatoia, con ai lati S. Giuseppe e la Madonna in adorazione. Sulla destra vi sono il bue, l'asino e la figura del pastore. In alto c'è un angioletto che innalza un cartiglio	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001608B-2	70.4	84.79	a il centro di il scena essere raffigurare Gesù bambino sdraiare in il magiatoia , con a il lato S. Giuseppe e il madonna in adorazione . su il destra vi essere il bue , il asino e il figura di il pastore . in alto ci essere uno angioletto che innalzare uno cartiglio	20
dipinto	1600-1699	legno/ pittura	Graglia (BI)	Al centro della scena è raffigurato Simeone col Bambino in braccio, davanti al quale in primo piano è raffigurato un cesto di colombi. Sulla sinistra ci sono la Madonna, inginocchiata, e S. Giuseppe in piedi. Sullo stesso lato in secondo piano si affaccia S. Anna ed una figura maschile	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001608B-3	71.0	83.06	a il centro di il scena essere raffigurare simeone con il bambino in braccio , davanti a il quale in primo piano essere raffigurare uno cesto di colombo . su il sinistra ci essere il Madonna , inginocchiato , e S. Giuseppe in piede . su il stesso lato in secondo piano si affacciare S. Anna e uno figura maschile	30
dipinto	1600-1699	legno/ pittura	Graglia (BI)	La scena raffigura Cristo seduto, coperto da un mantello, con le mani legate, mentre gli stanno al fianco due carnefi, di cui uno gli conficca la corona di spine in capo tramite un bastone	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001608B-5	52.2	61.62	il scena raffigurare cristo sedere , coprire da uno mantello , con il mano legato , mentre gli stare a il fianco due carnefi , di cui uno gli conficcare il corona di spina in capo tramite uno bastone	20
dipinto	1600-1699	legno/ pittura	Graglia (BI)	La scena raffigura Cristo crocifisso con con Maria e S. Giovanni da un lato e la Maddalena inginocchiata che abbraccia la croce	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001608B-6	68.1	82.7	il scena raffigurare cristo crocifisso con con Maria e S. Giovanni da uno lato e il maddalena inginocchiato che abbracciare il croce	9
scultura (elemento d'insieme)	1700-1799	legno/ scultura/ doratura	Graglia (BI)	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato secondo l'iconografia tradizionale con l'angelo	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001670-2	58.5	51.91	il legno essere scolpire e dorato solo su il lato anteriore ; dietro essere cavo . il evangelista essere raffigurare secondo il iconografia tradizionale con il angelo	14
scultura (elemento d'insieme)	1700-1799	legno/ scultura/ doratura	Graglia (BI)	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato secondo l'iconografia tradizionale con il leone ai suoi piedi	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001670-4	59.4	63.95	il legno essere scolpire e dorato solo su il lato anteriore ; dietro essere cavo . il evangelista essere raffigurare secondo il iconografia tradizionale con il leone a il suo piede	16
dipinto	1750-1799	tela/ pittura a olio	Cerrione (BI)	Nella parte inferiore del dipinto, diagonalmente, è dipinta la croce, a terra, con Cristo giacente su di essa, vestito del solo perizoma, con il capo cinto dalla corona di spine. Due sgherri, stanno piantando i chiodi nei palmi delle sue mani. Un soldato, con elmo, lorica e lancia in mano, osserva la scena	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001730-11	57.9	78.49	in il parte inferiore di il dipinto , diagonalmente , essere dipingere il croce , a terra , con cristo giacente su di esso , vestire di il solo perizoma , con il capo cinto da il corona di spina . due sgherro , stare piantare il chiodo in il palmo di il suo mano . uno soldato , con elmo , lorico e lanciare in mano , osservare il scena	26
dipinto	1750-1799	tela/ pittura a olio	Cerrione (BI)	Al centro della scena è raffigurato Cristo crocifisso vestito del solo perizoma e già morto. Ai lati in secondo piano i due ladroni crocifissi; mentre in primo piano ai lati della croce, ci sono: a sinistra la Madonna, a destra la Maddalena inginocchiata a baciare i piedi del Cristo e San Giovanni Evangelista in piedi	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001730-12	51.7	60.17	a il centro di il scena essere raffigurare cristo crocifisso vestire di il solo perizoma e già morire . a il lato in secondo piano il due ladrone crocifisso ; mentre in primo piano a il lato di il croce , ci essere : a sinistra il madonna , a destra il maddalena inginocchiare a baciare il piede di il cristo e San giovanni evangelista in piede	27
dipinto	1750-1799	tela/ pittura a olio	Cerrione (BI)	La scena raffigura il corpo esanime di Cristo, giacente sul sepolcro, avvolto dal sudario e pianto dalla Madonna e San Giovanni Evangelista	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001730-14	49.0	60.24	il scena raffigurare il corpo esanime di cristo , giacente su il sepolcro , avvolgere da il sudario e piangere da il Madonna e San giovanni evangelista	8
dipinto	1750-1799	tela/ pittura a olio	Cerrione (BI)	Al centro della scena è rappresentato il Cristo, in piedi, con la tunica chiara, che rivece la croce, con due sgherri che lo aiutano ad issarla sulla spalla sinistra ed un'altra figura maschile di lato	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001730-2	49.9	60.08	a il centro di il scena essere rappresentare il cristo , in piede , con il tunica chiaro , che rivece il croce , con due sgherro che lo aiutare a issarla su il spalla sinistra e uno altro figura maschile di lato	25
dipinto	1750-1799	tela/ pittura a olio	Cerrione (BI)	Al centro della scena è rappresentato Cristo con la croce sulle spalle, che lungo la salita al Calvario, si ferma di fronte a Maria Vergine piangente	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001730-4	52.8	70.1	a il centro di il scena essere rappresentare cristo con il croce su il spalla , che lungo il salita a il calvario , si fermare di fronte a Maria vergine piangente	16
dipinto	1750-1799	tela/ pittura a olio	Cerrione (BI)	Al centro della scena è rappresentato Cristo con la croce sulla spalla. Sulla destra gli si avvicina la Veronica che tiene in mano il panno nel quale Cristo si è asciugato il volto e sul quale è rimasta la sua impronta. La donna è dipinta di profilo, indossa una veste chiara e il velo sul capo. Sulla sinistra ci sono due soldati che incitano Cristo a camminare	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001730-6	62.7	85.0	a il centro di il scena essere rappresentare cristo con il croce su il spalla . su il destra lo si avvicinare il veronico che tenere in mano il panno in il quale cristo si essere asciugare il volto e su il quale essere rimanere il suo impronta . il donna essere dipingere di profilo , indossare uno veste chiaro e il velo su il capo . su il sinistra ci essere due soldato che incitare cristo a camminare	35
dipinto	1750-1799	tela/ pittura a olio	Cerrione (BI)	Al centro della scena è raffigurato Cristo, con dietro gli sgherri, che sorregge la croce e si rivolge verso sinistra dove sono raffigurate alcune donne	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001730-8	49.8	59.7	a il centro di il scena essere raffigurare cristo , con dietro il sgherro , che sorreggere il croce e si rivolgere verso sinistra dove essere raffigurare alcuno donna	19
dipinto	1750-1799	tela/ pittura a olio	Cerrione (BI)	Nella parte inferiore del dipinto, a destra, è rappresentato il Cristo col capo cinto dalla corona di spine, che cade a terra, sotto il peso della croce. I carnefici incitano il Cristo a sollevarsi; uno di questi, di spalle, tirandolo per la corda che gli cinge la vita	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001730-9	55.3	72.04	in il parte inferiore di il dipinto , a destra , essere rappresentare il cristo con il capo cinto da il corona di spina , che cadere a terra , sotto il peso di il croce . il carnefice incitare il cristo a sollevare si ; uno di questo , di spalla , tirare lo per il corda che gli cingere il vita	29
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco raffigura al centro della scena, incorniciata da un'arcata a tutto sesto, Maria con in braccio il Bambino mentre lo avvicina al sacerdote che gli opera la circoncisione. Ai lati, ci sono due figure maschili, di cui una sulla destra con un libro in mano ed una sulla sinistra, accompagnata da una figura femminile (S. Giuseppe e S. Anna) con due colombi in mano. Sullo sfondo la facciata del tempio	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-10	62.0	83.06	il affresco raffigurare a il centro di il scena , incorniciare da uno arcata a tutto sesto , Maria con in braccio il bambino mentre lo avvicinare a il sacerdote che il opera il circoncisione . a il lato , ci essere due figura maschile , di cui uno su il destra con uno libro in mano e uno su il sinistra , accompagnare da uno figura femminile ( S. Giuseppe e S. Anna ) con due colombo in mano . su il sfondo il facciata di il tempio	33
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco raffigura la Madonna seduta su di un semplice trono lineare, con Gesù Bambino seduto sulle sue ginocchia. Gesù ha al collo una croce ed è in atto benedicente. La Madonna regge nella mano sinistra un libro	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-11	64.9	79.39	il affresco raffigurare il Madonna sedere su di uno semplice trono lineare , con Gesù bambino sedere su il suo ginocchio . Gesù avere a il collo uno croce e essere in atto benedicente . il Madonna reggere in il mano sinistra uno libro	22
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco rappresenta due riquadri inquadranti due busti di profeti biblici, che tengono in mano un cartiglio	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-13	48.4	61.2	il affresco rappresentare due riquadro inquadrare due busta di profeto biblico , che tenere in mano uno cartiglio	9
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco rappresenta la resurrezione di Cristo, il quale si erge sul sepolcro, in atto benedicente e col vessillo in mano. Ai lati del sepolcro ci sono i soldati, alcuni dei quali ancora addormentati, mentre di fronte un angelo è seduto sul coperchio del sarcofago poggiato, A destra si affacciano le due Marie con l'ampolla d'olio in mano	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-14	49.5	57.85	il affresco rappresentare il resurrezione di cristo , il quale si ergere su il sepolcro , in atto benedicente e con il vessillo in mano . a il lato di il sepolcro ci essere il soldato , alcuno di il quale ancora addormentare , mentre di fronte uno angelo essere sedere su il coperchio di il sarcofago poggiato , a destra si affacciare il due mario con il ampolla di olio in mano	27
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco rappresenta Maria Maddalena, raffigurata sulla destra, che s'inginocchia davanti Cristo con la vanga in mano. Sull'estrema destra, dietro la figura della Maddalena, si affacciano alcuni apostoli	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-16	44.9	48.31	il affresco rappresentare Maria Maddalena , raffigurare su il destra , che si inginocchiare davanti cristo con il vanga in mano . su il estremo destra , dietro il figura di il maddalena , si affacciare alcuno apostolo	15
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco rappresenta al centro della scena Cristo con le mani giunte avvolto da una nube e sospeso da terra. Al lato sinistro ci sono tre angeli adulti a figura intera, di cui uno tiene in mano un cartiglio. Sulla sinistra c'è un gruppo di figure maschili inginocchiate	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-17	60.3	80.43	il affresco rappresentare a il centro di il scena cristo con il mano giungere avvolgere da uno nube e sospendere da terra . a il lato sinistro ci essere tre angelo adulto a figura intero , di cui uno tenere in mano uno cartiglio . su il sinistra ci essere uno gruppo di figura maschile inginocchiato	30
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco raffigura un busto di personaggio maschile visto di profilo, imberbe, e reggente un cartiglio. Il profeta è identificato dalla scritta soprastante il riquadro, che riporta il nome di Daniele	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-19	51.7	61.48	il affresco raffigurare uno busto di personaggio maschile vedere di profilo , imberbe , e reggente uno cartiglio . il profeta essere identificare da il scritta soprastante il riquadro , che riportare il nome di daniele	15
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco raffigura Gioacchino di fronte al sacerdote che gli fa cenno di uscire dal tempio. A sinistra di Gioacchino, vi è un pastore con l'agnello in braccio ed altre figure si stagliano sullo sfondo	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-2	56.9	81.98	il affresco raffigurare gioacchino di fronte a il sacerdote che lo fare cenno di uscire da il tempio . a sinistra di gioacchino , vi essere uno pastore con il agnello in braccio e altro figura si stagliare su il sfondo	22
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco raffigura un busto di personaggio maschile visto di profilo, con lunga barba e reggente un cartiglio. Il profeta è non è identificabile dalla scritta soprastante il riquadro, in quanto consunta	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-21	52.2	65.21	il affresco raffigurare uno busto di personaggio maschile vedere di profilo , con lungo barba e reggente uno cartiglio . il profeta essere non essere identificabile da il scritta soprastante il riquadro , in quanto consunto	16
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco raffigura un busto di personaggio maschile visto di tre quarti, barbuto e reggente un cartiglio. Il profeta è identificabile dalla scritta soprastante il riquadro, che riporta il nome di Mosé	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-23	52.9	65.21	il affresco raffigurare uno busto di personaggio maschile vedere di tre quarto , barbuto e reggente uno cartiglio . il profeta essere identificabile da il scritta soprastante il riquadro , che riportare il nome di Mosé	15
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco raffigura San Gioacchino e Sant'Anna che s'incontrano e si abbracciano. A destra di Sant'Anna di proporzioni minori, un'altra figura femminile	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-4	54.2	60.49	il affresco raffigurare San Gioacchino e Sant' Anna che si incontrare e si abbracciare . a destra di Sant' Anna di proporzione minore , uno altro figura femminile	14
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco raffigura la nascita di Maria, con S. Anna seduta sul letto con le mani giunte, attorniata da figure femminili, di cui tre intente a preparare il bagno per la piccola Maria ed una quarta che porta del cibo alla partoriente	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-5	56.6	74.73	il affresco raffigurare il nascita di Maria , con S. Anna sedere su il letto con il mano giunto , attorniare da figura femminile , di cui tre intento a preparare il bagno per il piccolo Maria e uno quarto che portare di il cibo a il partoriente	24
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco raffigura l'Annunciazione. L'arcangelo Gabriele è raffigurato sulla sinistra inginocchiato, in atto benedicente e tiene in mano un cartiglio, in secondo piano un vaso di gigli fioriti; in alto, in un clipeo con cornice bombata, appare la figura di Dio Padre barbuto. La Vergine è invece raffigurata sulla destra inginocchiata davati al leggio con il libro aperto davanti e le mani giunte, mentre sta per essere raggiunta dalla colomba dello spirito santo. La scena è divisa da una colonna con capitello a foglie d'acanto che regge un soffitto a volte	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-7	49.9	58.39	il affresco raffigurare il annunciazione . il arcangelo gabriele essere raffigurare su il sinistra inginocchiato , in atto benedicente e tenere in mano uno cartiglio , in secondo piano uno vaso di gigle fiorito ; in alto , in uno clipeo con cornice bombato , apparire il figura di dio padre barbuto . il vergine essere invece raffigurare su il destra inginocchiato davare a il leggio con il libro aperto davanti e il mano giungere , mentre stare per essere raggiungere da il colomba di il spirito santo . il scena essere dividere da uno colonna con capitello a foglia di acanto che reggere uno soffitto a volta	43
dipinto (elemento d'insieme)	1500-1510	intonaco/ pittura a fresco	Cossato (BI)	L'affresco raffigura al centro della scena il sommo sacerdote, abbigliato da una ricca veste broccata e col turbante in testa, che unisce le mani di San Giuseppe raffigurato sulla sinistra e di Maria Vergine, sulla destra. In secondo piano ci sono altre figure, che assistono alla scena. All'estrema destra si affaccia S. Anna	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001776-8	54.3	69.49	il affresco raffigurare a il centro di il scena il sommoe sacerdote , abbigliare da uno ricco veste broccato e con il turbante in testa , che unire il mano di San Giuseppe raffigurare su il sinistra e di Maria vergine , su il destra . in secondo piano ci essere altro figura , che assistono a il scena . a il estremo destra si affacciare S. anna	30
dipinto (elemento d'insieme)	1685-1685	intonaco/ pittura a fresco	Centallo (CN)	Verso l'altare è raffigurata la Madonna in gloria tra gli Apostoli; sotto di loro vi sono angeli musicanti	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001924-3	56.2	66.94	verso il altare essere raffigurare il madonna in gloria tra il apostolo ; sotto di loro vi essere angelo musicante	12
decorazione pittorica (elemento d'insieme)	1710-1720	scagliola/ pittura	Savigliano (CN)	Entro un ovale, due angeli inginocchiati sorreggono un ostensorio	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001960-1	59.0	58.66	entro uno ovale , due angelo inginocchiato sorreggono uno ostensorio	4
statua (elemento d'insieme)	ca 1740-ca 1760	legno/ scultura/ argentatura	Savigliano (CN)	San Giovanni, rappresentato con il libro, è riconoscibile per la giovane età	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001964-1	59.8	71.38	San giovanni , rappresentare con il libro , essere riconoscibile per il giovane età	9
statua (elemento d'insieme)	ca 1740-ca 1760	legno/ scultura/ argentatura	Savigliano (CN)	San Matteo, rappresentato con i libro, non presenta altra caratterizzazione iconografica, si distingue da San Giovanni per la differenza di età	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100001964-4	44.7	55.42	San matteo , rappresentare con il libro , non presentare altro caratterizzazione iconografico , si distinguere da San giovanni per il differenza di età	14
dipinto (elemento d'insieme)	1600-1624	tela/ pittura a olio	Villafalletto (CN)	In una folla di personaggi, Cristo cade sotto il peso della croce; a sinistra sono raffigurate le mura di Gerusalemme	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100002084-10	55.0	65.0	in uno folla di personaggio , cristo cadere sotto il peso di il croce ; a sinistra essere raffigurare il muro di Gerusalemme	13
dipinto (elemento d'insieme)	1600-1624	tela/ pittura a olio	Villafalletto (CN)	Gli apostoli sono raffigurati in cerchio, mentre assistono all'ascensione di Cristo, di cui si vedono solo i piedi	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100002084-13	51.8	63.58	il apostolo essere raffigurare in cerchio , mentre assistono a il ascensione di cristo , di cui si vedere solo il piede	12
dipinto (elemento d'insieme)	1600-1624	tela/ pittura a olio	Villafalletto (CN)	Maria è incoronata da Cristo e Dio Padre	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100002084-16	85.3	94.1	Maria essere incoronare da cristo e Dio padre	5
dipinto (elemento d'insieme)	1600-1624	tela/ pittura a olio	Villafalletto (CN)	Maria ed Elisabetta si abbracciano alla presenza di Zaccaria e Giuseppe, in un'ambientazione cittadina	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100002084-3	46.9	48.8	Maria e elisabetta si abbracciare a il presenza di Zaccaria e Giuseppe , in uno ambientazione cittadino	10
dipinto (elemento d'insieme)	1600-1624	tela/ pittura a olio	Villafalletto (CN)	Gesù, Maria e Giuseppe sono raffigurati nella capanna, in alto appare un angelo; alla scena è presente un'altra figura, forse un angelo	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100002084-4	50.8	54.78	Gesù , Maria e Giuseppe essere raffigurare in il capanna , in alto apparire uno angelo ; a il scena essere presente uno altro figura , forse uno angelo	15
